_type;_tags_highway;_lon;_lat;_id
node;traffic_signals;-72.5816923;-38.7385896;371216696
node;traffic_signals;-72.5859459;-38.74223;371223152
node;traffic_signals;-72.5988733;-38.7465669;387851682
node;traffic_signals;-72.5971615;-38.7701016;390376049
node;traffic_signals;-72.617975;-38.7390202;390510044
node;traffic_signals;-72.6058925;-38.740272;390510053
node;traffic_signals;-72.6098576;-38.7352618;390510057
node;traffic_signals;-72.6156335;-38.7302229;471178569
node;traffic_signals;-72.60846;-38.7327232;471178885
node;traffic_signals;-72.6107369;-38.7319024;471178886
node;traffic_signals;-72.6149484;-38.738875;474050238
node;traffic_signals;-72.5906492;-38.739366;571785752
node;traffic_signals;-72.5982886;-38.7372125;571786792
node;traffic_signals;-72.602417;-38.7612403;658726808
node;traffic_signals;-72.5927605;-38.7422658;659539850
node;traffic_signals;-72.5930172;-38.7433175;659539851
node;traffic_signals;-72.5914279;-38.7424548;659539854
node;traffic_signals;-72.5909777;-38.735088;659539863
node;traffic_signals;-72.5912348;-38.7361159;659539864
node;traffic_signals;-72.5898822;-38.7363253;659539865
node;traffic_signals;-72.5896207;-38.7352948;659539866
node;traffic_signals;-72.5852125;-38.7338532;659640611
node;traffic_signals;-72.5864662;-38.7336565;659640614
node;traffic_signals;-72.5863939;-38.73337;659640616
node;traffic_signals;-72.5851482;-38.7335694;659640617
node;traffic_signals;-72.583715;-38.734084;659640620
node;traffic_signals;-72.5836383;-38.7338056;659640621
node;traffic_signals;-72.5946036;-38.7387746;678984356
node;traffic_signals;-72.5948663;-38.7398181;678984357
node;traffic_signals;-72.5951233;-38.7408392;678984358
node;traffic_signals;-72.5953875;-38.7418889;678984359
node;traffic_signals;-72.5874831;-38.7430547;678984361
node;traffic_signals;-72.588789;-38.7428692;678984362
node;traffic_signals;-72.5900834;-38.7426694;678984363
node;traffic_signals;-72.5940961;-38.742089;678984365
node;traffic_signals;-72.5980345;-38.7414787;678984367
node;traffic_signals;-72.5882757;-38.7354998;678984374
node;traffic_signals;-72.5885362;-38.7365338;678984375
node;traffic_signals;-72.5887935;-38.7375554;678984376
node;traffic_signals;-72.5890572;-38.7385692;678984377
node;traffic_signals;-72.5898218;-38.7416371;678984380
node;traffic_signals;-72.591493;-38.737148;678984385
node;traffic_signals;-72.5917588;-38.7381772;678984386
node;traffic_signals;-72.5920004;-38.739164;678984387
node;traffic_signals;-72.5922569;-38.7402121;678984388
node;traffic_signals;-72.5925077;-38.7412363;678984389
node;traffic_signals;-72.587234;-38.7420453;678984395
node;traffic_signals;-72.5869782;-38.7410091;678984396
node;traffic_signals;-72.5867178;-38.7399543;678984397
node;traffic_signals;-72.5864691;-38.7389466;678984398
node;traffic_signals;-72.5862222;-38.7379464;678984399
node;traffic_signals;-72.5859716;-38.736931;678984400
node;traffic_signals;-72.5857149;-38.73589;678984401
node;traffic_signals;-72.5938319;-38.7410353;678984410
node;traffic_signals;-72.5885284;-38.7418446;678984411
node;traffic_signals;-72.5867135;-38.7346578;678984415
node;traffic_signals;-72.5869804;-38.7356972;678984416
node;traffic_signals;-72.5872416;-38.7367343;678984417
node;traffic_signals;-72.5874979;-38.7377519;678984418
node;traffic_signals;-72.5877519;-38.7387594;678984419
node;traffic_signals;-72.5880043;-38.7397618;678984420
node;traffic_signals;-72.588269;-38.7408143;678984421
node;traffic_signals;-72.5829412;-38.7363127;678984424
node;traffic_signals;-72.5832135;-38.7373244;678984425
node;traffic_signals;-72.5834855;-38.7383362;678984426
node;traffic_signals;-72.5837559;-38.7393419;678984427
node;traffic_signals;-72.5851083;-38.7391451;678984430
node;traffic_signals;-72.5848291;-38.7381347;678984431
node;traffic_signals;-72.5842717;-38.7361099;678984433
node;traffic_signals;-72.5935757;-38.740013;678984436
node;traffic_signals;-72.5933136;-38.7389676;678984447
node;traffic_signals;-72.5930669;-38.7379834;678984448
node;traffic_signals;-72.5927941;-38.7369631;678984449
node;traffic_signals;-72.5925365;-38.7359142;678984450
node;traffic_signals;-72.5982955;-38.7425402;678984725
node;traffic_signals;-72.587757;-38.7441312;678984732
node;traffic_signals;-72.5880398;-38.7452005;678984735
node;traffic_signals;-72.6182419;-38.7527743;679604671
node;traffic_signals;-72.6132534;-38.7373615;731309749
node;traffic_signals;-72.6152439;-38.740015;731309845
node;traffic_signals;-72.5904009;-38.738373;878277740
node;traffic_signals;-72.5911671;-38.7414221;888018521
node;traffic_signals;-72.5794888;-38.7347306;939140060
node;traffic_signals;-72.5804084;-38.7366987;939140062
node;traffic_signals;-72.581128;-38.734187;939140067
node;traffic_signals;-72.5794201;-38.7344489;939140068
node;traffic_signals;-72.5798215;-38.7343844;939140070
node;traffic_signals;-72.5811988;-38.7344718;939140071
node;traffic_signals;-72.5798966;-38.7346725;939140074
node;traffic_signals;-72.5799644;-38.7367629;939140079
node;traffic_signals;-72.579713;-38.7357515;939140081
node;traffic_signals;-72.6235719;-38.7398451;1012802729
node;traffic_signals;-72.6234982;-38.7396572;1012802731
node;traffic_signals;-72.603067;-38.7611858;1028892211
node;traffic_signals;-72.6207813;-38.7287846;1127314224
node;traffic_signals;-72.6121767;-38.7536138;1267914482
node;traffic_signals;-72.6119653;-38.7314595;1406166725
node;traffic_signals;-72.5817142;-38.7364997;1515493363
node;traffic_signals;-72.5819702;-38.7374979;1515493373
node;traffic_signals;-72.6084134;-38.7398836;1515493376
node;traffic_signals;-72.5893606;-38.7342684;1515513164
node;traffic_signals;-72.5901552;-38.7373443;1515513171
node;traffic_signals;-72.565978;-38.7327806;1515623904
node;traffic_signals;-72.5854528;-38.7348551;1515623958
node;traffic_signals;-72.5839711;-38.7350955;1515623961
node;traffic_signals;-72.5826567;-38.7352864;1515623963
node;traffic_signals;-72.5880198;-38.7344835;1515891219
node;traffic_signals;-72.5893005;-38.739568;1993227061
node;traffic_signals;-72.5909139;-38.7404149;1993227118
node;traffic_signals;-72.5895652;-38.7406186;1993227126
node;traffic_signals;-72.5991427;-38.7464249;1999553553
node;traffic_signals;-72.591676;-38.7435216;2073678079
node;traffic_signals;-72.603226;-38.7611513;2566570687
node;traffic_signals;-72.6026969;-38.7609599;3035649493
node;traffic_signals;-72.585035;-38.7725267;3036374987
node;traffic_signals;-72.5801471;-38.7356901;3049517960
node;traffic_signals;-72.677909;-38.7614683;3081631787
node;traffic_signals;-72.647225;-38.7571129;3111754179
node;traffic_signals;-72.6357238;-38.755177;3111780237
node;traffic_signals;-72.5985365;-38.7381906;3161397008
node;traffic_signals;-72.5890457;-38.7439329;3161397009
node;traffic_signals;-72.6325893;-38.7548458;3237246040
node;traffic_signals;-72.6113033;-38.7406031;4635448630
node;traffic_signals;-72.6205435;-38.7186778;5172315127
node;traffic_signals;-72.5845538;-38.7371331;5304317147
node;traffic_signals;-72.5783176;-38.7278251;6045359766
node;traffic_signals;-72.6004144;-38.7335934;6106993585
node;traffic_signals;-72.6120067;-38.7535328;6113557694
node;traffic_signals;-72.6011329;-38.7368616;6120066854
node;traffic_signals;-72.5737921;-38.7253854;6148210289
node;traffic_signals;-72.6060975;-38.7536921;6231252742
node;traffic_signals;-72.6363726;-38.7435236;7935010881
node;traffic_signals;-72.6012041;-38.7398612;7943000771
node;traffic_signals;-72.6010634;-38.7369051;7943364014
node;traffic_signals;-72.5587197;-38.7112028;8432716154
node;traffic_signals;-72.5590029;-38.7113467;8432716155
node;traffic_signals;-72.5588736;-38.7110106;8432716156
node;traffic_signals;-72.5625256;-38.7143547;8435010810
node;traffic_signals;-72.5625045;-38.7145056;8435010811
node;traffic_signals;-72.562411;-38.7145207;8435010813
node;traffic_signals;-72.5608753;-38.7183793;8435689163
node;traffic_signals;-72.5609268;-38.718229;8435689164
node;traffic_signals;-72.5672697;-38.7188635;8435689178
node;traffic_signals;-72.5671153;-38.7188218;8435689179
node;traffic_signals;-72.567327;-38.7187495;8435689180
node;traffic_signals;-72.5626527;-38.7143708;8437744697
node;traffic_signals;-72.567886;-38.7192241;8437744698
node;traffic_signals;-72.5678216;-38.7192213;8437744699
node;traffic_signals;-72.5700052;-38.7214974;8439087524
node;traffic_signals;-72.5702208;-38.7213265;8439087525
node;traffic_signals;-72.5702058;-38.7215622;8439087526
node;traffic_signals;-72.5700168;-38.7212438;8439087527
node;traffic_signals;-72.5740169;-38.7253608;8439249364
node;traffic_signals;-72.5737699;-38.7253081;8439249365
node;traffic_signals;-72.5741021;-38.7252574;8439249366
node;traffic_signals;-72.5742662;-38.7251681;8439249367
node;traffic_signals;-72.5742245;-38.7252907;8439249368
node;traffic_signals;-72.5963558;-38.7374961;8441716525
node;traffic_signals;-72.596543;-38.7375268;8441716526
node;traffic_signals;-72.5965421;-38.7374106;8441716527
node;traffic_signals;-72.5951999;-38.736603;8441716548
node;traffic_signals;-72.5950427;-38.7367239;8441716549
node;traffic_signals;-72.5948584;-38.7365123;8441716550
node;traffic_signals;-72.5931182;-38.7358242;8441716559
node;traffic_signals;-72.5933647;-38.7358351;8441716560
node;traffic_signals;-72.5933222;-38.7357023;8441716561
node;traffic_signals;-72.5918497;-38.735027;8441716563
node;traffic_signals;-72.591973;-38.7349348;8441716564
node;traffic_signals;-72.5917974;-38.7348884;8441716565
node;traffic_signals;-72.5907982;-38.7342805;8441716567
node;traffic_signals;-72.5909556;-38.7345516;8441716568
node;traffic_signals;-72.5907491;-38.7343213;8441716569
node;traffic_signals;-72.590069;-38.7341548;8441716570
node;traffic_signals;-72.5902418;-38.7341795;8441716571
node;traffic_signals;-72.5902745;-38.7340696;8441716572
node;traffic_signals;-72.5890805;-38.7334355;8441716574
node;traffic_signals;-72.5892846;-38.7336718;8441716575
node;traffic_signals;-72.5892155;-38.7336965;8441716576
node;traffic_signals;-72.5888789;-38.7332748;8441716578
node;traffic_signals;-72.5891066;-38.7334113;8441716580
node;traffic_signals;-72.5887359;-38.7332491;8441716582
node;traffic_signals;-72.5887073;-38.7333592;8441716583
node;traffic_signals;-72.5882992;-38.7331441;8441716584
node;traffic_signals;-72.5880606;-38.733112;8441716585
node;traffic_signals;-72.5882917;-38.7330017;8441716586
node;traffic_signals;-72.5860722;-38.7320556;8441716685
node;traffic_signals;-72.5859799;-38.7316832;8441716686
node;traffic_signals;-72.586122;-38.7319831;8441716687
node;traffic_signals;-72.5858334;-38.7316872;8441716688
node;traffic_signals;-72.5803896;-38.7366644;8442631895
node;traffic_signals;-72.6027288;-38.7609794;8455375684
node;traffic_signals;-72.6026727;-38.7609842;8455375685
node;traffic_signals;-72.6027364;-38.7608741;8455375686
node;traffic_signals;-72.6092042;-38.7649441;8455627680
node;traffic_signals;-72.6093444;-38.764884;8455627681
node;traffic_signals;-72.6094203;-38.7649837;8455627682
node;traffic_signals;-72.609143;-38.7648551;8455627683
node;traffic_signals;-72.5909913;-38.7609663;8461525020
node;traffic_signals;-72.5908738;-38.7610277;8461525021
node;traffic_signals;-72.5890931;-38.7737331;8463555101
node;traffic_signals;-72.5891703;-38.7735659;8463555102
node;traffic_signals;-72.5911221;-38.7610343;8463649025
node;traffic_signals;-72.5854322;-38.7726077;8463667524
node;traffic_signals;-72.5850849;-38.7726653;8463667525
node;traffic_signals;-72.5854105;-38.7725174;8463667526
node;traffic_signals;-72.5893009;-38.7736971;8464657594
node;traffic_signals;-72.5889792;-38.7736031;8464657595
node;traffic_signals;-72.6094781;-38.7288711;8467845866
node;traffic_signals;-72.6065119;-38.7297899;8476326641
node;traffic_signals;-72.6065853;-38.7297015;8476326642
node;traffic_signals;-72.6067435;-38.7298396;8476326643
node;traffic_signals;-72.6136056;-38.7341421;8476326661
node;traffic_signals;-72.6136668;-38.7340627;8476326662
node;traffic_signals;-72.6134502;-38.7339985;8476326663
node;traffic_signals;-72.6093381;-38.7288214;8476326684
node;traffic_signals;-72.6114601;-38.727725;8476326686
node;traffic_signals;-72.6113196;-38.7277526;8476326687
node;traffic_signals;-72.6128675;-38.7265156;8476326689
node;traffic_signals;-72.6129652;-38.7265113;8476326690
node;traffic_signals;-72.5987028;-38.746398;8476759709
node;traffic_signals;-72.6033234;-38.7316949;8476759818
node;traffic_signals;-72.6035778;-38.7316649;8476759819
node;traffic_signals;-72.6048602;-38.730851;8476759823
node;traffic_signals;-72.6045055;-38.7309352;8476759824
node;traffic_signals;-72.6065531;-38.7538314;8476994281
node;traffic_signals;-72.6062748;-38.7535676;8476994282
node;traffic_signals;-72.6033273;-38.7513629;8476994283
node;traffic_signals;-72.6034619;-38.7512687;8476994284
node;traffic_signals;-72.6092725;-38.7458628;8477102774
node;traffic_signals;-72.6091531;-38.745807;8477102775
node;traffic_signals;-72.6090294;-38.7458881;8477102776
node;traffic_signals;-72.6089012;-38.7501595;8477110016
node;traffic_signals;-72.609294;-38.750179;8477126817
node;traffic_signals;-72.6091858;-38.7500263;8477126818
node;traffic_signals;-72.6090423;-38.7503286;8477126819
node;traffic_signals;-72.639312;-38.7558797;8479380118
node;traffic_signals;-72.6392838;-38.7563697;8479380119
node;traffic_signals;-72.639142;-38.7559414;8479380120
node;traffic_signals;-72.6391611;-38.7560809;8479380121
node;traffic_signals;-72.6395641;-38.7563028;8479380122
node;traffic_signals;-72.6395504;-38.7564058;8479380123
node;traffic_signals;-72.6506074;-38.7574377;8479380175
node;traffic_signals;-72.6508444;-38.7573521;8479380176
node;traffic_signals;-72.6505759;-38.7572079;8479380177
node;traffic_signals;-72.6505938;-38.7570263;8479380178
node;traffic_signals;-72.6472194;-38.7572154;8479380210
node;traffic_signals;-72.6469347;-38.7569615;8479380211
node;traffic_signals;-72.646883;-38.7568135;8479380212
node;traffic_signals;-72.6471377;-38.7567723;8479380213
node;traffic_signals;-72.6442966;-38.7566718;8479380242
node;traffic_signals;-72.6442667;-38.7567702;8479380243
node;traffic_signals;-72.6445893;-38.7570261;8479380244
node;traffic_signals;-72.6445867;-38.7569396;8479380245
node;traffic_signals;-72.6419892;-38.7564445;8479380246
node;traffic_signals;-72.6419462;-38.7565013;8479380247
node;traffic_signals;-72.6419963;-38.7566018;8479380248
node;traffic_signals;-72.6422133;-38.7567548;8479380249
node;traffic_signals;-72.6422682;-38.7568375;8479380250
node;traffic_signals;-72.6422284;-38.7568916;8479380280
node;traffic_signals;-72.612168;-38.753487;8480324633
node;traffic_signals;-72.6120195;-38.7536008;8480324634
node;traffic_signals;-72.6126241;-38.7539106;8480324641
node;traffic_signals;-72.6126386;-38.7538148;8480324642
node;traffic_signals;-72.6143013;-38.7536753;8480324643
node;traffic_signals;-72.6142049;-38.7541226;8480324644
node;traffic_signals;-72.6144207;-38.7540703;8480324645
node;traffic_signals;-72.6144341;-38.7540161;8480324646
node;traffic_signals;-72.6142087;-38.7537526;8480324647
node;traffic_signals;-72.6141917;-38.7538569;8480324648
node;traffic_signals;-72.6171883;-38.7542321;8480324655
node;traffic_signals;-72.6171868;-38.754169;8480324656
node;traffic_signals;-72.6170445;-38.7540362;8480324657
node;traffic_signals;-72.6170524;-38.7539441;8480324658
node;traffic_signals;-72.6204948;-38.7543641;8480324659
node;traffic_signals;-72.6200968;-38.7542024;8480324660
node;traffic_signals;-72.620457;-38.754036;8480324661
node;traffic_signals;-72.6204048;-38.754104;8480324674
node;traffic_signals;-72.621991;-38.754504;8480324685
node;traffic_signals;-72.6219777;-38.7544176;8480324686
node;traffic_signals;-72.6218365;-38.7541891;8480324687
node;traffic_signals;-72.6218125;-38.7542959;8480324688
node;traffic_signals;-72.6245152;-38.754681;8480324691
node;traffic_signals;-72.6246302;-38.7546165;8480324693
node;traffic_signals;-72.6249245;-38.7544781;8480324695
node;traffic_signals;-72.6271277;-38.7544524;8480324697
node;traffic_signals;-72.6270315;-38.7549255;8480324698
node;traffic_signals;-72.627269;-38.7548742;8480324699
node;traffic_signals;-72.627249;-38.7547899;8480324700
node;traffic_signals;-72.6269911;-38.7546569;8480324701
node;traffic_signals;-72.6270141;-38.754546;8480324702
node;traffic_signals;-72.6293264;-38.7549439;8480324705
node;traffic_signals;-72.6293223;-38.7548555;8480324706
node;traffic_signals;-72.6290246;-38.7547296;8480324707
node;traffic_signals;-72.6290193;-38.7546042;8480324708
node;traffic_signals;-72.6326271;-38.7545968;8480324711
node;traffic_signals;-72.6325344;-38.7550506;8480324712
node;traffic_signals;-72.6327047;-38.7549899;8480324713
node;traffic_signals;-72.6326992;-38.7549279;8480324714
node;traffic_signals;-72.6325181;-38.7547979;8480324715
node;traffic_signals;-72.6325341;-38.7546851;8480324716
node;traffic_signals;-72.635847;-38.7549773;8480324733
node;traffic_signals;-72.6358181;-38.7550829;8480324734
node;traffic_signals;-72.6356466;-38.7552315;8480324743
node;traffic_signals;-72.6218976;-38.7545594;8483634743
node;traffic_signals;-72.598275;-38.7382274;8485925306
node;traffic_signals;-72.5980862;-38.7382067;8485925307
node;traffic_signals;-72.5980439;-38.7383107;8485925308
node;traffic_signals;-72.5998297;-38.7326506;8486092833
node;traffic_signals;-72.6002358;-38.7325881;8486092834
node;traffic_signals;-72.6003001;-38.7325381;8486092835
node;traffic_signals;-72.6000406;-38.7326855;8486092836
node;traffic_signals;-72.600727;-38.7346855;8486092839
node;traffic_signals;-72.6002896;-38.7337134;8486092840
node;traffic_signals;-72.6006212;-38.7334557;8486092841
node;traffic_signals;-72.6005294;-38.7334283;8486092842
node;traffic_signals;-72.600831;-38.7346037;8486092856
node;traffic_signals;-72.6004708;-38.7347211;8486092857
node;traffic_signals;-72.6005666;-38.7347733;8486092858
node;traffic_signals;-72.6009256;-38.7368352;8486092860
node;traffic_signals;-72.6010878;-38.7367939;8486092901
node;traffic_signals;-72.5986444;-38.7385397;8486094921
node;traffic_signals;-72.6041022;-38.7417334;8486408322
node;traffic_signals;-72.604308;-38.7416321;8486408323
node;traffic_signals;-72.6040788;-38.7415751;8486408324
node;traffic_signals;-72.602616;-38.7407688;8486408374
node;traffic_signals;-72.6026766;-38.7406228;8486408375
node;traffic_signals;-72.6012465;-38.7399879;8486408377
node;traffic_signals;-72.6586145;-38.7571612;8487105783
node;traffic_signals;-72.6369236;-38.749123;8491393376
node;traffic_signals;-72.6365876;-38.74909;8491393377
node;traffic_signals;-72.6367741;-38.7491846;8491393378
node;traffic_signals;-72.6375633;-38.7512349;8491447656
node;traffic_signals;-72.637654;-38.7511234;8491447657
node;traffic_signals;-72.6377807;-38.7511683;8491447658
node;traffic_signals;-72.6374169;-38.7511703;8491447659
node;traffic_signals;-72.6184357;-38.7526401;8492989171
node;traffic_signals;-72.6183806;-38.7527748;8492989178
node;traffic_signals;-72.6183322;-38.7526117;8492989179
node;traffic_signals;-72.6292233;-38.747466;8493024925
node;traffic_signals;-72.6295862;-38.747544;8493024927
node;traffic_signals;-72.6142278;-38.7495571;8494090893
node;traffic_signals;-72.6140508;-38.749304;8494090894
node;traffic_signals;-72.6165613;-38.7511592;8494103086
node;traffic_signals;-72.6164439;-38.7511412;8494103087
node;traffic_signals;-72.6164905;-38.751291;8494103088
node;traffic_signals;-72.6172208;-38.7379659;8494262452
node;traffic_signals;-72.6086334;-38.7447635;8495220384
node;traffic_signals;-72.6084107;-38.7449262;8495220385
node;traffic_signals;-72.6084293;-38.7447668;8495220386
node;traffic_signals;-72.6053056;-38.742504;8495226462
node;traffic_signals;-72.6190714;-38.7409839;8498115712
node;traffic_signals;-72.6188885;-38.7407852;8498115713
node;traffic_signals;-72.6189529;-38.7409064;8498115714
node;traffic_signals;-72.618788;-38.7408352;8498115715
node;traffic_signals;-72.6173084;-38.7379527;8498308618
node;traffic_signals;-72.6233953;-38.7360759;8499998543
node;traffic_signals;-72.6232002;-38.7360496;8499998544
node;traffic_signals;-72.6233776;-38.7359479;8499998545
node;traffic_signals;-72.6218356;-38.7325711;8503630668
node;traffic_signals;-72.6219439;-38.7324723;8503630669
node;traffic_signals;-72.6182203;-38.7324865;8503630670
node;traffic_signals;-72.6182722;-38.732409;8503630671
node;traffic_signals;-72.6180674;-38.7323666;8503630672
node;traffic_signals;-72.6206749;-38.7300002;8504000149
node;traffic_signals;-72.6207647;-38.7300586;8504000150
node;traffic_signals;-72.6208361;-38.7298789;8504000151
node;traffic_signals;-72.6215272;-38.7312539;8504000157
node;traffic_signals;-72.6213889;-38.7311259;8504000158
node;traffic_signals;-72.6213422;-38.7313722;8504000159
node;traffic_signals;-72.6211973;-38.7312608;8504000160
node;traffic_signals;-72.6208521;-38.7288491;8504059296
node;traffic_signals;-72.6206505;-38.7288588;8504059297
node;traffic_signals;-72.6205848;-38.728823;8504059298
node;traffic_signals;-72.620725;-38.7291615;8504059299
node;traffic_signals;-72.6205794;-38.7292611;8504059300
node;traffic_signals;-72.6207931;-38.7292214;8504059301
node;traffic_signals;-72.615453;-38.7334326;8504298321
node;traffic_signals;-72.6152977;-38.733291;8504298322
node;traffic_signals;-72.6152328;-38.7333689;8504298323
node;traffic_signals;-72.616914;-38.732705;8504298423
node;traffic_signals;-72.6168703;-38.7327907;8504298424
node;traffic_signals;-72.6170838;-38.7328248;8504298425
node;traffic_signals;-72.6058268;-38.7361009;8504777321
node;traffic_signals;-72.6057056;-38.7360215;8504777324
node;traffic_signals;-72.60569;-38.7360931;8504777325
node;traffic_signals;-72.6070851;-38.7359193;8504777328
node;traffic_signals;-72.6099261;-38.7351455;8504777339
node;traffic_signals;-72.6101246;-38.7353081;8504777340
node;traffic_signals;-72.6097584;-38.7353403;8504777346
node;traffic_signals;-72.612415;-38.7345045;8504777350
node;traffic_signals;-72.6121611;-38.7344585;8504777351
node;traffic_signals;-72.6122296;-38.734367;8504777352
node;traffic_signals;-72.6206019;-38.7279522;8504879630
node;traffic_signals;-72.6202221;-38.7187073;8506915161
node;traffic_signals;-72.620299;-38.7185415;8506915162
node;traffic_signals;-72.6236226;-38.7178651;8506936132
node;traffic_signals;-72.6235354;-38.7178337;8506936133
node;traffic_signals;-72.6234524;-38.7179789;8506936134
node;traffic_signals;-72.6233989;-38.7179445;8506936135
node;traffic_signals;-72.6260922;-38.7266527;8510543404
node;traffic_signals;-72.6261333;-38.7263499;8510543405
node;traffic_signals;-72.6263115;-38.7265483;8510543406
node;traffic_signals;-72.6259033;-38.7264513;8510543407
node;traffic_signals;-72.6204565;-38.7279638;8510543408
node;traffic_signals;-72.6204691;-38.7277609;8510543409
node;traffic_signals;-72.622841;-38.7269779;8510589717
node;traffic_signals;-72.6230172;-38.7271378;8510589718
node;traffic_signals;-72.6228145;-38.7271276;8510589719
node;traffic_signals;-72.6362137;-38.7437113;8515771654
node;traffic_signals;-72.6362233;-38.7433893;8515771655
node;traffic_signals;-72.6360141;-38.7435525;8515771656
node;traffic_signals;-72.6335156;-38.7450529;8515771659
node;traffic_signals;-72.633625;-38.7449007;8515771660
node;traffic_signals;-72.6333002;-38.744959;8515771661
node;traffic_signals;-72.6334206;-38.7447968;8515771662
node;traffic_signals;-72.6295106;-38.7474676;8515776243
node;traffic_signals;-72.6292255;-38.7475111;8515776244
node;traffic_signals;-72.6310143;-38.7421086;8517702695
node;traffic_signals;-72.6306822;-38.7421891;8517702696
node;traffic_signals;-72.6309148;-38.7420905;8517702697
node;traffic_signals;-72.6308427;-38.7422205;8517702698
node;traffic_signals;-72.6402064;-38.7352585;8517775717
node;traffic_signals;-72.6401826;-38.7353162;8517775718
node;traffic_signals;-72.6400767;-38.7352595;8517775720
node;traffic_signals;-72.6401081;-38.7356559;8517775722
node;traffic_signals;-72.6400218;-38.7356796;8517775723
node;traffic_signals;-72.640058;-38.7355995;8517775724
node;traffic_signals;-72.6339986;-38.7373593;8517775827
node;traffic_signals;-72.6337617;-38.737305;8517775828
node;traffic_signals;-72.6338405;-38.7375207;8517775829
node;traffic_signals;-72.634137;-38.7373796;8517775830
node;traffic_signals;-72.6339076;-38.7371117;8517775831
node;traffic_signals;-72.6336678;-38.73728;8517775832
node;traffic_signals;-72.6262515;-38.7302241;8518753350
node;traffic_signals;-72.626358;-38.7302922;8518753351
node;traffic_signals;-72.626478;-38.7302072;8518753352
node;traffic_signals;-72.6265993;-38.7299323;8518753353
node;traffic_signals;-72.626327;-38.7298989;8518753354
node;traffic_signals;-72.6264061;-38.7299562;8518753355
node;traffic_signals;-72.6265506;-38.7298851;8518753356
node;traffic_signals;-72.6279409;-38.7349089;8521085714
node;traffic_signals;-72.6283621;-38.7349005;8521085715
node;traffic_signals;-72.6281492;-38.7350681;8521085716
node;traffic_signals;-72.6294503;-38.7385275;8521093430
node;traffic_signals;-72.6296438;-38.7384233;8521093431
node;traffic_signals;-72.6294572;-38.7381816;8521093432
node;traffic_signals;-72.629247;-38.7383157;8521093433
node;traffic_signals;-72.6281748;-38.734758;8521127617
node;traffic_signals;-72.6326227;-38.7337763;8521185681
node;traffic_signals;-72.6327757;-38.7338882;8521185682
node;traffic_signals;-72.6324346;-38.7338722;8521185683
node;traffic_signals;-72.6325399;-38.7339815;8521185684
node;traffic_signals;-72.6270841;-38.7168503;8522106714
node;traffic_signals;-72.5610186;-38.7183104;8540836106
node;traffic_signals;-72.5608133;-38.7182902;8540836107
node;traffic_signals;-72.6929425;-38.7614904;8619118319
node;traffic_signals;-72.6930631;-38.761859;8619118320
node;traffic_signals;-72.6933259;-38.7616701;8619118321
node;traffic_signals;-72.6927759;-38.7616594;8619118322
node;traffic_signals;-72.6712301;-38.7591779;8622294825
node;traffic_signals;-72.6715189;-38.7595059;8622294828
node;traffic_signals;-72.6710774;-38.7592775;8622294829
node;traffic_signals;-72.5984903;-38.7780823;8684465130
node;traffic_signals;-72.5987274;-38.7779532;8684465131
node;traffic_signals;-72.5983808;-38.7780311;8684465132
node;traffic_signals;-72.5985735;-38.7779141;8684465136
node;traffic_signals;-72.6028316;-38.740827;8761934518
node;traffic_signals;-72.5502209;-38.703164;8826393346
node;traffic_signals;-72.6123131;-38.7564903;9207721509
node;traffic_signals;-72.5799005;-38.7286646;9380604706
node;traffic_signals;-72.5797692;-38.7286709;9380604707
node;traffic_signals;-72.579655;-38.7284053;9380604708
node;traffic_signals;-72.5926032;-38.7583175;9407348130
node;traffic_signals;-72.5925783;-38.7581972;9407348131
node;traffic_signals;-72.5501275;-38.703048;9709129680
node;traffic_signals;-72.5509624;-38.7040778;9709129681
node;traffic_signals;-72.6268036;-38.7168578;9869149858
node;traffic_signals;-72.623372;-38.7178517;9869149860
node;traffic_signals;-72.6268689;-38.7167331;9943117159
node;traffic_signals;-72.579771;-38.7367305;10185584167
node;traffic_signals;-72.57794;-38.727482;10236816461
node;traffic_signals;-72.5778587;-38.727644;10236816463
node;traffic_signals;-72.5985503;-38.7384513;10280947576
node;traffic_signals;-72.624045;-38.7489244;10710052545
node;traffic_signals;-72.6240299;-38.74903;10711226209
node;traffic_signals;-72.6237999;-38.7488479;10711226210
node;traffic_signals;-72.6065145;-38.7769104;11610022577
node;traffic_signals;-72.6065371;-38.7770328;11610022578
node;traffic_signals;-72.6065672;-38.7769957;11610022579
node;traffic_signals;-72.6064712;-38.7769376;11610022580
node;traffic_signals;-72.6042164;-38.736282;11663101444
node;traffic_signals;-72.6043161;-38.7364137;11663101445
node;traffic_signals;-72.6043624;-38.7363827;11663101446
node;traffic_signals;-72.6784941;-38.7615739;11772813221
node;traffic_signals;-72.6779628;-38.7613308;11772813222
node;traffic_signals;-72.6782582;-38.7614047;11772813223
node;traffic_signals;-72.678525;-38.7614612;11772813224
node;traffic_signals;-72.6587349;-38.7572472;11788538273
node;traffic_signals;-72.6587404;-38.7573137;11788538274
node;traffic_signals;-72.6584439;-38.7572056;11788538275
node;traffic_signals;-72.6013288;-38.7367555;11833952165
node;traffic_signals;-72.6071493;-38.7358444;12658492784
node;traffic_signals;-72.6069708;-38.7357877;12658492785
node;traffic_signals;-72.6049503;-38.7426249;12713753324
node;traffic_signals;-72.6053531;-38.742694;12713753325
