_type;_tags_wikipedia;_tags_wikidata;_tags_surface;_tags_ref;_tags_operator:type;_tags_operator;_tags_old_name;_tags_name;_tags_icao;_tags_iata;_tags_check_date;_tags_building;_tags_alt_name;_tags_aeroway;_tags_addr:city;_nodes;_id;_geometry_centroid_lon;_geometry_centroid_lat;_geometry;_bounds_minlon;_bounds_minlat;_bounds_maxlon;_bounds_maxlat
way;es:Aeródromo Maquehue;Q1030915;;;public;Fuerza Aérea de Chile;Aeropuerto Maquehue;Aeródromo Maquehue;SCTC;PZS;2023-11-20;;;aerodrome;Padre Las Casas;[1055895797, 6067575766, 9378328786, 6067555737, 6067575765, 6067575764, 9378328784, 9378328783, 6067575763, 6067575762, 6067575761, 6067575760, 6067575759, 6067575756, 6067575758, 8455658058, 2573285622, 2573285624, 1041863460, 2573285626, 1041864157, 1041863980, 1041863849, 939667352, 939667020, 5093498537, 5093498534, 5093498533, 8455658056, 5093498532, 5093498531, 1055897514, 1055896846, 1055896168, 939667361, 1041863343, 11942279665, 1999553561, 939667317, 939667419, 8465656203, 8465656209, 8465656202, 939667063, 2573424253, 939667457, 11942279642, 939667079, 939667149, 1041863755, 939667200, 1041863641, 1041863916, 8455658057, 9378328789, 6067575641, 6067575642, 6067575643, 1055897908, 6067575644, 6067575645, 6067575646, 6067575647, 6067575648, 6067575649, 6067575650, 6067575651, 6067575652, 6067575653, 6067575695, 6067575696, 6067575694, 6067575693, 6067575692, 6067575691, 6067575690, 6067575689, 6067575688, 6067575687, 6067575686, 6067575685, 6067575684, 6067575683, 6067575682, 6067575681, 6067575680, 6067575679, 6067575678, 9378328808, 6067575677, 9378328807, 6067575676, 6067575675, 6067575674, 6067575673, 6067575672, 9378328812, 6067575671, 6067575670, 6067575669, 9378328811, 6067575668, 6067575667, 6067575666, 6067575665, 9378328809, 9378328810, 2714939704, 2464787659, 6067575664, 6067575663, 6067575662, 6067575661, 6067575660, 6067575659, 6067575658, 6067575657, 6067575656, 6067575655, 6067575654, 1055896303, 2339411135, 2339411138, 2339411144, 6067575772, 2339411142, 6067575771, 1055895974, 1055897639, 1055895797];1017054285;-72.6286857151497;-38.767260506621774;[{'lat': -38.769809, 'lon': -72.6378473}, {'lat': -38.7697818, 'lon': -72.6377832}, {'lat': -38.7697191, 'lon': -72.6377191}, {'lat': -38.7695817, 'lon': -72.6372798}, {'lat': -38.7695565, 'lon': -72.6372006}, {'lat': -38.7694289, 'lon': -72.6367843}, {'lat': -38.7694305, 'lon': -72.6367521}, {'lat': -38.769443, 'lon': -72.6367273}, {'lat': -38.769466, 'lon': -72.6367045}, {'lat': -38.7697191, 'lon': -72.6365691}, {'lat': -38.7696323, 'lon': -72.6362459}, {'lat': -38.7696349, 'lon': -72.6361822}, {'lat': -38.7696485, 'lon': -72.6361453}, {'lat': -38.7696778, 'lon': -72.6361004}, {'lat': -38.7697102, 'lon': -72.6360561}, {'lat': -38.7697898, 'lon': -72.6359931}, {'lat': -38.7700667, 'lon': -72.6359805}, {'lat': -38.7703552, 'lon': -72.635976}, {'lat': -38.7707075, 'lon': -72.637185}, {'lat': -38.7709919, 'lon': -72.6370319}, {'lat': -38.7711827, 'lon': -72.636794}, {'lat': -38.7713614, 'lon': -72.6361842}, {'lat': -38.7711987, 'lon': -72.6348045}, {'lat': -38.7709427, 'lon': -72.6332107}, {'lat': -38.7688791, 'lon': -72.6211076}, {'lat': -38.7684915, 'lon': -72.6189369}, {'lat': -38.7684539, 'lon': -72.6186968}, {'lat': -38.7676926, 'lon': -72.6188149}, {'lat': -38.7671029, 'lon': -72.6171398}, {'lat': -38.7665717, 'lon': -72.6154433}, {'lat': -38.7677423, 'lon': -72.6144697}, {'lat': -38.7677332, 'lon': -72.6144551}, {'lat': -38.7675976, 'lon': -72.6140473}, {'lat': -38.7669087, 'lon': -72.612746}, {'lat': -38.7656434, 'lon': -72.6106362}, {'lat': -38.7649949, 'lon': -72.6096118}, {'lat': -38.7648457, 'lon': -72.609735}, {'lat': -38.7645078, 'lon': -72.6100139}, {'lat': -38.7639402, 'lon': -72.6104992}, {'lat': -38.7632069, 'lon': -72.6110794}, {'lat': -38.7628185, 'lon': -72.6114036}, {'lat': -38.7628058, 'lon': -72.6114142}, {'lat': -38.7627942, 'lon': -72.6114239}, {'lat': -38.762787, 'lon': -72.6114299}, {'lat': -38.7627482, 'lon': -72.611467}, {'lat': -38.7608672, 'lon': -72.6131733}, {'lat': -38.7615342, 'lon': -72.6144037}, {'lat': -38.7621654, 'lon': -72.6155682}, {'lat': -38.7624463, 'lon': -72.6169753}, {'lat': -38.7627592, 'lon': -72.6186875}, {'lat': -38.7637803, 'lon': -72.6217885}, {'lat': -38.7639228, 'lon': -72.6242422}, {'lat': -38.7636602, 'lon': -72.6267647}, {'lat': -38.7635881, 'lon': -72.6269649}, {'lat': -38.7634346, 'lon': -72.6275092}, {'lat': -38.7632966, 'lon': -72.6278713}, {'lat': -38.7631397, 'lon': -72.6281798}, {'lat': -38.7643548, 'lon': -72.6319107}, {'lat': -38.7649195, 'lon': -72.6335952}, {'lat': -38.7659284, 'lon': -72.6367172}, {'lat': -38.7672984, 'lon': -72.6408854}, {'lat': -38.7673967, 'lon': -72.6408479}, {'lat': -38.7676769, 'lon': -72.6417437}, {'lat': -38.7680286, 'lon': -72.6427505}, {'lat': -38.7686261, 'lon': -72.6445872}, {'lat': -38.769132, 'lon': -72.6461588}, {'lat': -38.7697777, 'lon': -72.6481344}, {'lat': -38.7702356, 'lon': -72.6480711}, {'lat': -38.7704729, 'lon': -72.6487952}, {'lat': -38.7706502, 'lon': -72.6493081}, {'lat': -38.7707136, 'lon': -72.6492692}, {'lat': -38.7713702, 'lon': -72.6488431}, {'lat': -38.7716869, 'lon': -72.6481703}, {'lat': -38.7718464, 'lon': -72.647921}, {'lat': -38.7719284, 'lon': -72.6478176}, {'lat': -38.7719451, 'lon': -72.6477465}, {'lat': -38.771918, 'lon': -72.6476727}, {'lat': -38.7717397, 'lon': -72.64748}, {'lat': -38.7715029, 'lon': -72.6471551}, {'lat': -38.7714035, 'lon': -72.6469405}, {'lat': -38.7713439, 'lon': -72.6467541}, {'lat': -38.7712791, 'lon': -72.6465221}, {'lat': -38.7712341, 'lon': -72.646337}, {'lat': -38.7712059, 'lon': -72.6461171}, {'lat': -38.771207, 'lon': -72.6459347}, {'lat': -38.7712391, 'lon': -72.6457582}, {'lat': -38.7713178, 'lon': -72.6455578}, {'lat': -38.7714757, 'lon': -72.6453245}, {'lat': -38.7717318, 'lon': -72.6451206}, {'lat': -38.7719253, 'lon': -72.6449946}, {'lat': -38.7720623, 'lon': -72.644839}, {'lat': -38.7723613, 'lon': -72.6443991}, {'lat': -38.7725265, 'lon': -72.6441389}, {'lat': -38.7726434, 'lon': -72.6439181}, {'lat': -38.773134, 'lon': -72.6428461}, {'lat': -38.7731758, 'lon': -72.6426436}, {'lat': -38.7731946, 'lon': -72.6423673}, {'lat': -38.7731162, 'lon': -72.6408465}, {'lat': -38.77302, 'lon': -72.6402417}, {'lat': -38.7729175, 'lon': -72.6398313}, {'lat': -38.7727377, 'lon': -72.6394276}, {'lat': -38.7724941, 'lon': -72.6389784}, {'lat': -38.7722787, 'lon': -72.638564}, {'lat': -38.7718866, 'lon': -72.6375327}, {'lat': -38.771529, 'lon': -72.636732}, {'lat': -38.7714893, 'lon': -72.6367924}, {'lat': -38.7713941, 'lon': -72.6369466}, {'lat': -38.7712781, 'lon': -72.6370901}, {'lat': -38.7711212, 'lon': -72.6372215}, {'lat': -38.7709508, 'lon': -72.6373342}, {'lat': -38.7708745, 'lon': -72.6373731}, {'lat': -38.7710355, 'lon': -72.6387477}, {'lat': -38.7709341, 'lon': -72.6387236}, {'lat': -38.7708786, 'lon': -72.6387182}, {'lat': -38.770818, 'lon': -72.6387396}, {'lat': -38.7706016, 'lon': -72.6388107}, {'lat': -38.7705796, 'lon': -72.6388389}, {'lat': -38.7705754, 'lon': -72.6388724}, {'lat': -38.7706559, 'lon': -72.6391701}, {'lat': -38.7702962, 'lon': -72.6393686}, {'lat': -38.7700608, 'lon': -72.6386005}, {'lat': -38.7701645, 'lon': -72.6385464}, {'lat': -38.7701893, 'lon': -72.6386232}, {'lat': -38.7702864, 'lon': -72.6385717}, {'lat': -38.7702823, 'lon': -72.6385589}, {'lat': -38.7703162, 'lon': -72.638541}, {'lat': -38.770296, 'lon': -72.6384783}, {'lat': -38.7703254, 'lon': -72.6384627}, {'lat': -38.7700781, 'lon': -72.637694}, {'lat': -38.769809, 'lon': -72.6378473}];-72.6493081;-38.7731946;-72.6096118;-38.7608672
way;;;;;;;;Terminal Maquehue;;;;yes;Aeropuerto Temuco;terminal;;[1055895797, 1055897639, 1055895974, 6067575771, 2339411142, 6067575772, 2339411144, 2339411138, 2339411135, 1055896303, 1055895797];90958200;-72.63816692129818;-38.770075680975225;[{'lat': -38.769809, 'lon': -72.6378473}, {'lat': -38.7700781, 'lon': -72.637694}, {'lat': -38.7703254, 'lon': -72.6384627}, {'lat': -38.770296, 'lon': -72.6384783}, {'lat': -38.7703162, 'lon': -72.638541}, {'lat': -38.7702823, 'lon': -72.6385589}, {'lat': -38.7702864, 'lon': -72.6385717}, {'lat': -38.7701893, 'lon': -72.6386232}, {'lat': -38.7701645, 'lon': -72.6385464}, {'lat': -38.7700608, 'lon': -72.6386005}, {'lat': -38.769809, 'lon': -72.6378473}];-72.6386232;-38.7703254;-72.637694;-38.769809
way;;;;;;;;;;;;;;taxiway;;[9378328258, 9378328259, 9378328260, 9378328261, 9378328262, 9378328780, 9378328263];89890497;-72.635512559884;-38.76702182145857;[{'lat': -38.7664063, 'lon': -72.6356236}, {'lat': -38.7664888, 'lon': -72.6357275}, {'lat': -38.7665419, 'lon': -72.6357711}, {'lat': -38.7666106, 'lon': -72.6357912}, {'lat': -38.7666764, 'lon': -72.6357943}, {'lat': -38.7667259, 'lon': -72.635784}, {'lat': -38.7680317, 'lon': -72.6350831}];-72.6357943;-38.7680317;-72.6350831;-38.7664063
way;;;;;;;;;;;;;;taxiway;;[1041863519, 2727295018];89890500;-72.63873674999999;-38.7685975;[{'lat': -38.768866, 'lon': -72.6389789}, {'lat': -38.768329, 'lon': -72.6384946}];-72.6389789;-38.768866;-72.6384946;-38.768329
way;;;;;;;;;;;;;;taxiway;;[1041863474, 5028264837, 1041864077, 4437426241, 1041863245, 4437426240, 4437426239, 4437426238, 4437426237, 1041863413, 9378328779, 9378328743, 9378328742, 9378328741, 9378328740, 1041863770];89890503;-72.62591310740957;-38.76548641347984;[{'lat': -38.7666962, 'lon': -72.6219151}, {'lat': -38.7658238, 'lon': -72.6257847}, {'lat': -38.765568, 'lon': -72.6268554}, {'lat': -38.7654507, 'lon': -72.6272786}, {'lat': -38.765365, 'lon': -72.6274878}, {'lat': -38.7652897, 'lon': -72.6276246}, {'lat': -38.7651998, 'lon': -72.627756}, {'lat': -38.7651036, 'lon': -72.6278606}, {'lat': -38.7650032, 'lon': -72.6279491}, {'lat': -38.7649111, 'lon': -72.6280054}, {'lat': -38.7642896, 'lon': -72.6282995}, {'lat': -38.7642365, 'lon': -72.6283456}, {'lat': -38.7641928, 'lon': -72.6284105}, {'lat': -38.7641541, 'lon': -72.6285124}, {'lat': -38.7641447, 'lon': -72.6286143}, {'lat': -38.7641542, 'lon': -72.6287658}];-72.6287658;-38.7666962;-72.6219151;-38.7641447
way;;;;;;;;;;;;;;taxiway;;[1041863739, 9378328775, 9378328776, 9378328777, 9378328778, 9378328782, 9378328754, 9378328753, 9378328752, 1041863519, 9378328751, 9378328749, 9378328718, 9378328750, 9378328309, 9378328732, 9378328748, 9378328747, 9378328746, 9378328745, 9378328744, 9378328286, 9378328285, 9378328284, 9378328283, 9378328282, 9378328281, 9378328280];89890512;-72.64076772771723;-38.76877343045623;[{'lat': -38.7687066, 'lon': -72.6426283}, {'lat': -38.7686536, 'lon': -72.6423633}, {'lat': -38.7686206, 'lon': -72.6421689}, {'lat': -38.7685919, 'lon': -72.6418892}, {'lat': -38.7685876, 'lon': -72.6416295}, {'lat': -38.7686133, 'lon': -72.6412934}, {'lat': -38.7688167, 'lon': -72.6392426}, {'lat': -38.7688251, 'lon': -72.6391205}, {'lat': -38.7688366, 'lon': -72.6390441}, {'lat': -38.768866, 'lon': -72.6389789}, {'lat': -38.7688962, 'lon': -72.6389368}, {'lat': -38.7689448, 'lon': -72.6388992}, {'lat': -38.7690871, 'lon': -72.6388245}, {'lat': -38.7691878, 'lon': -72.6387683}, {'lat': -38.7692257, 'lon': -72.6387453}, {'lat': -38.769244, 'lon': -72.638726}, {'lat': -38.7692642, 'lon': -72.6387048}, {'lat': -38.7693175, 'lon': -72.6386297}, {'lat': -38.7693709, 'lon': -72.6385264}, {'lat': -38.7694012, 'lon': -72.6384319}, {'lat': -38.7694587, 'lon': -72.6380617}, {'lat': -38.7694498, 'lon': -72.6380302}, {'lat': -38.769432, 'lon': -72.6380114}, {'lat': -38.7693944, 'lon': -72.6379987}, {'lat': -38.7693578, 'lon': -72.6380047}, {'lat': -38.769317, 'lon': -72.6380215}, {'lat': -38.7692945, 'lon': -72.6380423}, {'lat': -38.7692663, 'lon': -72.6380973}];-72.6426283;-38.7694587;-72.6379987;-38.7685876
way;;;;;;;;;;;;;;taxiway;;[9378328761, 9378328762, 9378328763, 9378328764, 9378328765, 9378328766, 9378328781, 9378328724, 9378328727, 2464787627, 9378328273, 9378328272, 9378328271, 9378328270, 9378328269, 9378328268, 9378328267, 9378328264];89890532;-72.63964227068945;-38.76402551285306;[{'lat': -38.7672637, 'lon': -72.6382346}, {'lat': -38.7673167, 'lon': -72.6383085}, {'lat': -38.7673674, 'lon': -72.6383661}, {'lat': -38.7674234, 'lon': -72.6384}, {'lat': -38.7674775, 'lon': -72.6384124}, {'lat': -38.7675345, 'lon': -72.6384143}, {'lat': -38.7675798, 'lon': -72.6384007}, {'lat': -38.7688017, 'lon': -72.637745}, {'lat': -38.7690122, 'lon': -72.637632}, {'lat': -38.7693893, 'lon': -72.6374357}, {'lat': -38.7694132, 'lon': -72.6374716}, {'lat': -38.769431, 'lon': -72.6375273}, {'lat': -38.7694323, 'lon': -72.6375779}, {'lat': -38.7694161, 'lon': -72.6376188}, {'lat': -38.7693876, 'lon': -72.6376658}, {'lat': -38.7693656, 'lon': -72.6376849}, {'lat': -38.769328, 'lon': -72.6377023}, {'lat': -38.7692914, 'lon': -72.6377097}];-72.6384143;-38.7694323;-72.6374357;-38.7672637
way;;;asphalt;;;;;;;;;;;taxiway;;[5028264835, 5028264837];514748816;-72.6268547;-38.76610625;[{'lat': -38.7663887, 'lon': -72.6279247}, {'lat': -38.7658238, 'lon': -72.6257847}];-72.6279247;-38.7663887;-72.6257847;-38.7658238
way;;;;;;;;;;;;;;taxiway;;[1041864093, 9378328257, 9378328256, 9378328255, 9378328253, 9378328254, 9378328780];1016786321;-72.63596803977714;-38.76664019257668;[{'lat': -38.7665896, 'lon': -72.6361818}, {'lat': -38.7665889, 'lon': -72.6360983}, {'lat': -38.7665978, 'lon': -72.6360065}, {'lat': -38.7666219, 'lon': -72.6359173}, {'lat': -38.7666491, 'lon': -72.6358663}, {'lat': -38.766687, 'lon': -72.6358269}, {'lat': -38.7667259, 'lon': -72.635784}];-72.6361818;-38.7667259;-72.635784;-38.7665889
way;;;;;;;;;;;;;;taxiway;;[9378328266, 9378328264, 9378328265];1016786322;-72.6377072;-38.76929246666666;[{'lat': -38.7692376, 'lon': -72.6378015}, {'lat': -38.7692914, 'lon': -72.6377097}, {'lat': -38.7693484, 'lon': -72.6376104}];-72.6378015;-38.7693484;-72.6376104;-38.7692376
way;;;;;;;;;;;;;;taxiway;;[9378328279, 9378328278, 9378328277, 9378328276, 9378328275, 9378328274];1016786323;-72.63871796173085;-38.76957878796703;[{'lat': -38.76967, 'lon': -72.6388692}, {'lat': -38.7696088, 'lon': -72.6386357}, {'lat': -38.7695905, 'lon': -72.6386196}, {'lat': -38.7695633, 'lon': -72.6386189}, {'lat': -38.7695193, 'lon': -72.6386417}, {'lat': -38.7694739, 'lon': -72.638686}];-72.6388692;-38.76967;-72.6386189;-38.7694739
way;;;;;;;;;;;;;;taxiway;;[9378328291, 9378328290, 9378328289, 9378328288, 9378328287];1016786324;-72.6381909102671;-38.76924428035291;[{'lat': -38.769288, 'lon': -72.638438}, {'lat': -38.7692957, 'lon': -72.6383688}, {'lat': -38.7692951, 'lon': -72.6383326}, {'lat': -38.7692913, 'lon': -72.6382803}, {'lat': -38.7691471, 'lon': -72.6378317}];-72.638438;-38.7692957;-72.6378317;-38.7691471
way;;;;;;;;;;;;;;taxiway;;[9378328293, 9378328305, 9378328291, 9378328292];1016786325;-72.63845196311566;-38.76928280466466;[{'lat': -38.7692186, 'lon': -72.6386509}, {'lat': -38.7692595, 'lon': -72.6385284}, {'lat': -38.769288, 'lon': -72.638438}, {'lat': -38.7693693, 'lon': -72.6381797}];-72.6386509;-38.7693693;-72.6381797;-38.7692186
way;;;;;;;;;;;;;;taxiway;;[9378328302, 9378328301, 9378328300, 9378328295, 9378328294, 9378328299, 9378328298, 9378328297, 9378328296];1016786326;-72.6385878670609;-38.76957445433142;[{'lat': -38.7697055, 'lon': -72.6386002}, {'lat': -38.7696846, 'lon': -72.638566}, {'lat': -38.7696527, 'lon': -72.6385412}, {'lat': -38.7696072, 'lon': -72.6385217}, {'lat': -38.7695758, 'lon': -72.6385247}, {'lat': -38.7695429, 'lon': -72.6385425}, {'lat': -38.7695, 'lon': -72.6385733}, {'lat': -38.7694702, 'lon': -72.6386263}, {'lat': -38.7693855, 'lon': -72.6386659}];-72.6386659;-38.7697055;-72.6385217;-38.7693855
way;;;;;;;;;;;;;;taxiway;;[9378328745, 9378328308, 9378328307, 9378328306, 9378328305, 9378328304, 9378328303];1016786327;-72.63847747751049;-38.76928152599476;[{'lat': -38.7694012, 'lon': -72.6384319}, {'lat': -38.7693703, 'lon': -72.6384801}, {'lat': -38.7693327, 'lon': -72.6385123}, {'lat': -38.7692998, 'lon': -72.6385237}, {'lat': -38.7692595, 'lon': -72.6385284}, {'lat': -38.769214, 'lon': -72.638511}, {'lat': -38.769153, 'lon': -72.6384567}];-72.6385284;-38.7694012;-72.6384319;-38.769153
way;;;;;;;;;;;;;;taxiway;;[9378328313, 9378328312, 9378328311, 9378328310, 9378328309];1016786328;-72.63874924388162;-38.76938021624129;[{'lat': -38.7695319, 'lon': -72.6387759}, {'lat': -38.7694467, 'lon': -72.6387417}, {'lat': -38.7693698, 'lon': -72.6387303}, {'lat': -38.7692867, 'lon': -72.6387329}, {'lat': -38.7692257, 'lon': -72.6387453}];-72.6387759;-38.7695319;-72.6387303;-38.7692257
way;;;;;;;;;;;;;;taxiway;;[9378328723, 9378328722, 9378328721, 9378328720, 9378328719, 9378328718, 9378328717, 9378328316, 9378328315, 9378328314];1016786329;-72.63876354810816;-38.76920667577637;[{'lat': -38.7693062, 'lon': -72.6389272}, {'lat': -38.7692689, 'lon': -72.6388724}, {'lat': -38.7692355, 'lon': -72.6388422}, {'lat': -38.769191, 'lon': -72.6388208}, {'lat': -38.7691424, 'lon': -72.6388188}, {'lat': -38.7690871, 'lon': -72.6388245}, {'lat': -38.7691445, 'lon': -72.6387745}, {'lat': -38.769168, 'lon': -72.6387289}, {'lat': -38.7691889, 'lon': -72.6386444}, {'lat': -38.7691906, 'lon': -72.6385679}];-72.6389272;-38.7693062;-72.6385679;-38.7690871
way;;;;;;;;;;;;;;taxiway;;[9378328731, 9378328726, 9378328725, 9378328724];1016786330;-72.63781368143505;-38.76889090862128;[{'lat': -38.7689578, 'lon': -72.6378793}, {'lat': -38.7689186, 'lon': -72.6378223}, {'lat': -38.768869, 'lon': -72.6377875}, {'lat': -38.7688017, 'lon': -72.637745}];-72.6378793;-38.7689578;-72.637745;-38.7688017
way;;;;;;;;;;;;;;taxiway;;[9378328302, 9378328279, 9378328739, 9378328738, 9378328737, 9378328736, 9378328735, 9378328734, 9378328733, 9378328723, 9378328732, 9378328293, 9378328314, 9378328303, 9378328731, 9378328730, 9378328729, 9378328728, 9378328727];1016786331;-72.63845583151777;-38.76934074585827;[{'lat': -38.7697055, 'lon': -72.6386002}, {'lat': -38.76967, 'lon': -72.6388692}, {'lat': -38.7696511, 'lon': -72.6389851}, {'lat': -38.769625, 'lon': -72.6390374}, {'lat': -38.7695769, 'lon': -72.6390843}, {'lat': -38.7695298, 'lon': -72.6391192}, {'lat': -38.7694441, 'lon': -72.6391125}, {'lat': -38.7693782, 'lon': -72.6390696}, {'lat': -38.7693332, 'lon': -72.6390146}, {'lat': -38.7693062, 'lon': -72.6389272}, {'lat': -38.769244, 'lon': -72.638726}, {'lat': -38.7692186, 'lon': -72.6386509}, {'lat': -38.7691906, 'lon': -72.6385679}, {'lat': -38.769153, 'lon': -72.6384567}, {'lat': -38.7689578, 'lon': -72.6378793}, {'lat': -38.7689411, 'lon': -72.6378143}, {'lat': -38.7689396, 'lon': -72.6377399}, {'lat': -38.7689641, 'lon': -72.6376802}, {'lat': -38.7690122, 'lon': -72.637632}];-72.6391192;-38.7697055;-72.637632;-38.7689396
way;;;;;;;;;;;;;;taxiway;;[9378328760, 9378328759, 9378328758, 9378328757, 9378328756, 9378328755, 9378328781];1016786332;-72.63858544670414;-38.76749602161744;[{'lat': -38.7674501, 'lon': -72.638802}, {'lat': -38.7674464, 'lon': -72.6387061}, {'lat': -38.7674506, 'lon': -72.6386243}, {'lat': -38.7674704, 'lon': -72.6385519}, {'lat': -38.7675065, 'lon': -72.6384748}, {'lat': -38.7675423, 'lon': -72.6384381}, {'lat': -38.7675798, 'lon': -72.6384007}];-72.638802;-38.7675798;-72.6384007;-38.7674464
way;;;;;;;;;;;;;;taxiway;;[9378328782, 9378328774, 9378328773, 9378328772, 9378328771, 9378328770, 9378328769, 9378328768];1016786333;-72.64132759510262;-38.76844214401144;[{'lat': -38.7686133, 'lon': -72.6412934}, {'lat': -38.7685762, 'lon': -72.6413481}, {'lat': -38.7685446, 'lon': -72.6413706}, {'lat': -38.7685086, 'lon': -72.6413883}, {'lat': -38.7684578, 'lon': -72.6413977}, {'lat': -38.7683895, 'lon': -72.6413836}, {'lat': -38.7683297, 'lon': -72.6413468}, {'lat': -38.76826, 'lon': -72.6412685}];-72.6413977;-38.7686133;-72.6412685;-38.76826
way;;;concrete;06/24;;;;;;;;;;runway;;[493140103, 1041863739, 9378328768, 9378328760, 1041863904, 9378328761, 1041864093, 9378328258, 1041863770, 493140104];40605839;-72.65625503949289;-38.77318149982541;[{'lat': -38.7699124, 'lon': -72.6463003}, {'lat': -38.7687066, 'lon': -72.6426283}, {'lat': -38.76826, 'lon': -72.6412685}, {'lat': -38.7674501, 'lon': -72.638802}, {'lat': -38.7673477, 'lon': -72.6384904}, {'lat': -38.7672637, 'lon': -72.6382346}, {'lat': -38.7665896, 'lon': -72.6361818}, {'lat': -38.7664063, 'lon': -72.6356236}, {'lat': -38.7641542, 'lon': -72.6287658}, {'lat': -38.7639028, 'lon': -72.6280001}];-72.6463003;-38.7699124;-72.6280001;-38.7639028
way;es:Aeródromo Maquehue;Q1030915;unpaved;;;;;07/25;;;;;;runway;;[5028264834, 5028264835];514748814;-72.63145485;-38.76725465;[{'lat': -38.7681206, 'lon': -72.634985}, {'lat': -38.7663887, 'lon': -72.6279247}];-72.634985;-38.7681206;-72.6279247;-38.7663887
way;;;;;;;;;;;;;;helipad;;[6332227281, 6332227280, 6332227279, 6332227278, 6332227281];676156661;-72.54307429999999;-38.72216435000001;[{'lat': -38.7221151, 'lon': -72.5431224}, {'lat': -38.7222032, 'lon': -72.5431362}, {'lat': -38.7222136, 'lon': -72.5430262}, {'lat': -38.7221255, 'lon': -72.5430124}, {'lat': -38.7221151, 'lon': -72.5431224}];-72.5431362;-38.7222136;-72.5430124;-38.7221151
way;;;;;;;;Hospital Regional de Temuco Heliport;;;;;;helipad;;[11645946948, 11645946946, 11645946945, 11645946944, 11645946943, 11645946942, 11645946941, 11645946940, 11645946939, 11645946938, 11645946947, 11645946937, 11645946936, 11645946935, 1042138183, 11645946934, 11645946933, 11645946932, 11645946931, 11645946930, 11645946948];1252919189;-72.59863691632668;-38.73605294551925;[{'lat': -38.7361003, 'lon': -72.5987425}, {'lat': -38.7361234, 'lon': -72.5987186}, {'lat': -38.7361397, 'lon': -72.5986867}, {'lat': -38.7361474, 'lon': -72.5986499}, {'lat': -38.7361459, 'lon': -72.5986119}, {'lat': -38.7361353, 'lon': -72.5985762}, {'lat': -38.7361167, 'lon': -72.5985466}, {'lat': -38.7360918, 'lon': -72.5985258}, {'lat': -38.7360631, 'lon': -72.5985158}, {'lat': -38.7360334, 'lon': -72.5985177}, {'lat': -38.7360056, 'lon': -72.5985313}, {'lat': -38.7359825, 'lon': -72.5985552}, {'lat': -38.7359662, 'lon': -72.5985872}, {'lat': -38.7359585, 'lon': -72.598624}, {'lat': -38.73596, 'lon': -72.598662}, {'lat': -38.7359706, 'lon': -72.5986976}, {'lat': -38.7359892, 'lon': -72.5987273}, {'lat': -38.7360141, 'lon': -72.5987481}, {'lat': -38.7360428, 'lon': -72.598758}, {'lat': -38.7360725, 'lon': -72.5987561}, {'lat': -38.7361003, 'lon': -72.5987425}];-72.598758;-38.7361474;-72.5985158;-38.7359585
