_type;_tags_usage;_tags_source;_tags_railway:preserved;_tags_railway;_tags_passenger_lines;_tags_name;_tags_gauge;_tags_electrified;_nodes;_lon;_lat;_id;_geometry_centroid_lon;_geometry_centroid_lat;_geometry;_bounds_minlon;_bounds_minlat;_bounds_maxlon;_bounds_maxlat
way;main;Bing;yes;rail;1;Ramal Antilhue - Valdivia;1676;no;[4728594421, 1415853015, 1415853120, 4728594420, 4728594419, 4728594418, 1415853110, 4728594417, 4728594416, 4728594415, 4728594414, 1415853114, 4728594413, 4728594412, 4728594411, 4728594410, 4728594409, 4728594408, 1415853118, 4728594407, 4728594406, 4728594405, 1415852981, 4728594404, 4728594403, 4728594402, 1415853084, 4728594401, 4728594400, 4728594399, 4728594398, 1415853014, 4728594397, 4728594396, 4728594395, 4728594394, 4728594393, 1415853155, 4728594392, 4728594391, 4728594390, 4728594389, 4728579588, 4728579587, 4728579586, 4728579585, 1415853149, 4728579584, 1415853065, 4728579583, 4728579582, 4728579581, 4728579580, 1415853208, 4728579579, 1415853139, 1415853135, 4728579578, 4728579577, 4728579576, 4728579575, 4728579574, 4728579573, 1415852974, 4728579572, 1415853085, 4728579571, 4728579570, 4728579569, 4728579568, 1415853094, 4728579567, 4728579566, 1415853052, 4728579565, 4728579564, 4728579563, 4728579562, 4728579561, 1415853219, 4728579560, 4728579559, 4728579558, 4728579557, 1415852983, 4728579556, 4728579555, 1415853167, 4728579554, 4728579553, 4728579552, 4728579551, 1415853137, 4728579550, 1909607637, 4728579549, 4728579548, 1194477384, 1909607636, 4728579547, 1194477547, 4728579546, 4728579545, 1194477442, 4728579544, 4728579543, 1909607635, 4728579542, 4728579541, 1194477450, 4728579540, 4728579539, 4728579538, 1514991572, 11258235309, 11258083608, 11258083613, 1194477353, 4728579537, 4728579536, 1194477476, 4728579535, 2924973149, 4728579534, 1514991573, 4728579533, 4728579532, 1194477452, 4728579531, 2924973147, 4728579530, 1194477394, 4728579529, 2924973148, 4728579528, 4728579527, 4728579526, 1194477388, 7246260832, 10049229527, 1194178835, 1194178843, 4728579525, 5881808285, 4728579524, 1909607639, 4728579523, 1194178745, 4728579522, 1909607641, 4728579521, 1194178749, 4728579520, 1909607643, 4728579519, 1194179008, 4728579518, 1358125033, 8867274059, 1514991574, 8867274060, 1194178985, 1514991576, 1358125016, 4728579514, 1194178953, 4728579515, 4728579517, 4728579516, 4728579513, 8861578012, 3969531694, 4728579512, 1194178921, 4728579511, 4728579510, 4728579509, 4728579508, 1909648633, 4728579507, 4728579506, 1194179178, 4728579505];;;103416566;-73.18746255734452;-39.803675653980704;[{'lat': -39.8070582, 'lon': -73.1526013}, {'lat': -39.8068797, 'lon': -73.1532602}, {'lat': -39.806678, 'lon': -73.1540222}, {'lat': -39.8066399, 'lon': -73.1542059}, {'lat': -39.8066018, 'lon': -73.1544138}, {'lat': -39.8065719, 'lon': -73.1546042}, {'lat': -39.8065513, 'lon': -73.1547879}, {'lat': -39.806541, 'lon': -73.1549287}, {'lat': -39.8065399, 'lon': -73.1550816}, {'lat': -39.8065441, 'lon': -73.1552546}, {'lat': -39.8065533, 'lon': -73.1554504}, {'lat': -39.8067903, 'lon': -73.1587609}, {'lat': -39.8068047, 'lon': -73.1590546}, {'lat': -39.8068119, 'lon': -73.1592987}, {'lat': -39.8068109, 'lon': -73.1595146}, {'lat': -39.8068068, 'lon': -73.1597453}, {'lat': -39.8067965, 'lon': -73.1600296}, {'lat': -39.806782, 'lon': -73.1603126}, {'lat': -39.8067532, 'lon': -73.1605848}, {'lat': -39.8067182, 'lon': -73.1608075}, {'lat': -39.8066821, 'lon': -73.1610073}, {'lat': -39.8066378, 'lon': -73.1612004}, {'lat': -39.8065894, 'lon': -73.1614137}, {'lat': -39.8065338, 'lon': -73.1615853}, {'lat': -39.8064792, 'lon': -73.1617315}, {'lat': -39.806406, 'lon': -73.1619072}, {'lat': -39.806236, 'lon': -73.162282}, {'lat': -39.8061876, 'lon': -73.1623799}, {'lat': -39.8061351, 'lon': -73.1624778}, {'lat': -39.8060701, 'lon': -73.1625878}, {'lat': -39.805997, 'lon': -73.1627071}, {'lat': -39.8059094, 'lon': -73.1628426}, {'lat': -39.8058229, 'lon': -73.162966}, {'lat': -39.8057425, 'lon': -73.1630692}, {'lat': -39.8056385, 'lon': -73.1631926}, {'lat': -39.8055344, 'lon': -73.163308}, {'lat': -39.805417, 'lon': -73.1634367}, {'lat': -39.8045742, 'lon': -73.1643118}, {'lat': -39.8044835, 'lon': -73.1644124}, {'lat': -39.8044001, 'lon': -73.164521}, {'lat': -39.8043187, 'lon': -73.164631}, {'lat': -39.8042455, 'lon': -73.1647436}, {'lat': -39.8041744, 'lon': -73.1648549}, {'lat': -39.8041178, 'lon': -73.1649636}, {'lat': -39.804057, 'lon': -73.1650843}, {'lat': -39.8039921, 'lon': -73.165221}, {'lat': -39.8039292, 'lon': -73.1653565}, {'lat': -39.8038633, 'lon': -73.1655228}, {'lat': -39.8036377, 'lon': -73.1661317}, {'lat': -39.8035789, 'lon': -73.1662845}, {'lat': -39.8035202, 'lon': -73.1664294}, {'lat': -39.8034646, 'lon': -73.1665514}, {'lat': -39.8034038, 'lon': -73.1666681}, {'lat': -39.8033461, 'lon': -73.16677}, {'lat': -39.8032822, 'lon': -73.1668706}, {'lat': -39.8013555, 'lon': -73.1697573}, {'lat': -39.8012164, 'lon': -73.1699632}, {'lat': -39.8011237, 'lon': -73.170096}, {'lat': -39.8010454, 'lon': -73.1701925}, {'lat': -39.8009537, 'lon': -73.1702971}, {'lat': -39.8008548, 'lon': -73.1703991}, {'lat': -39.8007497, 'lon': -73.170501}, {'lat': -39.800592, 'lon': -73.1706451}, {'lat': -39.8004622, 'lon': -73.1707524}, {'lat': -39.8003159, 'lon': -73.1708718}, {'lat': -39.8001789, 'lon': -73.170971}, {'lat': -39.8000501, 'lon': -73.1710502}, {'lat': -39.7999223, 'lon': -73.1711253}, {'lat': -39.7997647, 'lon': -73.1712071}, {'lat': -39.7995483, 'lon': -73.171309}, {'lat': -39.7977874, 'lon': -73.1720982}, {'lat': -39.7976091, 'lon': -73.1721888}, {'lat': -39.7974937, 'lon': -73.1722572}, {'lat': -39.7973814, 'lon': -73.1723376}, {'lat': -39.797264, 'lon': -73.1724288}, {'lat': -39.7971486, 'lon': -73.1725213}, {'lat': -39.7970589, 'lon': -73.1726058}, {'lat': -39.7969713, 'lon': -73.1726876}, {'lat': -39.7968807, 'lon': -73.1727896}, {'lat': -39.7952974, 'lon': -73.1747104}, {'lat': -39.7951439, 'lon': -73.1748867}, {'lat': -39.7950058, 'lon': -73.1750396}, {'lat': -39.7948925, 'lon': -73.1751509}, {'lat': -39.7947843, 'lon': -73.1752528}, {'lat': -39.7946874, 'lon': -73.175332}, {'lat': -39.7945607, 'lon': -73.1754205}, {'lat': -39.7943546, 'lon': -73.1755693}, {'lat': -39.7932462, 'lon': -73.1762735}, {'lat': -39.7930913, 'lon': -73.1763821}, {'lat': -39.792947, 'lon': -73.1765028}, {'lat': -39.7928028, 'lon': -73.1766261}, {'lat': -39.7926399, 'lon': -73.1767844}, {'lat': -39.7925122, 'lon': -73.1769239}, {'lat': -39.7923926, 'lon': -73.177066}, {'lat': -39.7922855, 'lon': -73.1772082}, {'lat': -39.7921721, 'lon': -73.1773631}, {'lat': -39.7920649, 'lon': -73.1775213}, {'lat': -39.7919846, 'lon': -73.1776635}, {'lat': -39.7919083, 'lon': -73.177803}, {'lat': -39.7918341, 'lon': -73.1779733}, {'lat': -39.7917533, 'lon': -73.1781823}, {'lat': -39.7916651, 'lon': -73.1784152}, {'lat': -39.7915847, 'lon': -73.1786418}, {'lat': -39.7915085, 'lon': -73.1788993}, {'lat': -39.7914498, 'lon': -73.1791179}, {'lat': -39.7914106, 'lon': -73.1793124}, {'lat': -39.7913797, 'lon': -73.1794813}, {'lat': -39.7913488, 'lon': -73.1796731}, {'lat': -39.7913312, 'lon': -73.1798475}, {'lat': -39.7913168, 'lon': -73.1800164}, {'lat': -39.7913034, 'lon': -73.1802096}, {'lat': -39.7912972, 'lon': -73.1804094}, {'lat': -39.7913014, 'lon': -73.1806763}, {'lat': -39.7913405, 'lon': -73.182242}, {'lat': -39.7913913, 'lon': -73.1848187}, {'lat': -39.7914462, 'lon': -73.1876002}, {'lat': -39.7915471, 'lon': -73.1927223}, {'lat': -39.791593, 'lon': -73.1950476}, {'lat': -39.7916043, 'lon': -73.1953855}, {'lat': -39.7916239, 'lon': -73.1956484}, {'lat': -39.7916507, 'lon': -73.1958549}, {'lat': -39.7916898, 'lon': -73.1960816}, {'lat': -39.7917353, 'lon': -73.1962993}, {'lat': -39.7917826, 'lon': -73.1964853}, {'lat': -39.7918485, 'lon': -73.1966891}, {'lat': -39.7919341, 'lon': -73.1969292}, {'lat': -39.792035, 'lon': -73.197184}, {'lat': -39.7921257, 'lon': -73.1973972}, {'lat': -39.7922288, 'lon': -73.1976051}, {'lat': -39.792371, 'lon': -73.1978693}, {'lat': -39.7924699, 'lon': -73.1980141}, {'lat': -39.7926018, 'lon': -73.1981804}, {'lat': -39.7927461, 'lon': -73.1983641}, {'lat': -39.7928491, 'lon': -73.1984848}, {'lat': -39.7929872, 'lon': -73.1986263}, {'lat': -39.7931459, 'lon': -73.1987752}, {'lat': -39.7933221, 'lon': -73.1989334}, {'lat': -39.7939836, 'lon': -73.1994732}, {'lat': -39.7962352, 'lon': -73.2012342}, {'lat': -39.7962716, 'lon': -73.2012626}, {'lat': -39.7995478, 'lon': -73.2038251}, {'lat': -39.8012808, 'lon': -73.205183}, {'lat': -39.8014663, 'lon': -73.2053171}, {'lat': -39.8015649, 'lon': -73.2053817}, {'lat': -39.8016445, 'lon': -73.2054338}, {'lat': -39.8017898, 'lon': -73.2055317}, {'lat': -39.801934, 'lon': -73.2056148}, {'lat': -39.80207, 'lon': -73.2056859}, {'lat': -39.8022648, 'lon': -73.2057771}, {'lat': -39.8024183, 'lon': -73.2058535}, {'lat': -39.8025914, 'lon': -73.20593}, {'lat': -39.8027974, 'lon': -73.2060064}, {'lat': -39.8030045, 'lon': -73.2060842}, {'lat': -39.8031642, 'lon': -73.2061338}, {'lat': -39.8033198, 'lon': -73.2061794}, {'lat': -39.8035279, 'lon': -73.2062277}, {'lat': -39.8037134, 'lon': -73.2062653}, {'lat': -39.805301, 'lon': -73.2065529}, {'lat': -39.8066461, 'lon': -73.2068396}, {'lat': -39.8067125, 'lon': -73.2068516}, {'lat': -39.8067932, 'lon': -73.2068649}, {'lat': -39.8081244, 'lon': -73.207103}, {'lat': -39.8094228, 'lon': -73.2073233}, {'lat': -39.8114123, 'lon': -73.207672}, {'lat': -39.8126104, 'lon': -73.2078464}, {'lat': -39.8129102, 'lon': -73.2079027}, {'lat': -39.8131698, 'lon': -73.2079537}, {'lat': -39.8134119, 'lon': -73.2080074}, {'lat': -39.8136447, 'lon': -73.2080556}, {'lat': -39.8138621, 'lon': -73.2081126}, {'lat': -39.8140587, 'lon': -73.2081706}, {'lat': -39.814067, 'lon': -73.208173}, {'lat': -39.8143102, 'lon': -73.2082541}, {'lat': -39.8145646, 'lon': -73.2083446}, {'lat': -39.8148149, 'lon': -73.2084452}, {'lat': -39.815091, 'lon': -73.2085592}, {'lat': -39.8153444, 'lon': -73.2086692}, {'lat': -39.8155504, 'lon': -73.2087657}, {'lat': -39.8157381, 'lon': -73.2088568}, {'lat': -39.815946, 'lon': -73.2089656}, {'lat': -39.8161271, 'lon': -73.2090845}, {'lat': -39.8163229, 'lon': -73.2092154}, {'lat': -39.8166515, 'lon': -73.2094311}];-73.2094311;-39.8166515;-73.1526013;-39.7912972
way;main;Bing;yes;rail;1;Antilhueâ€“Valdivia;1676;no;[4728579504, 1514991577, 4728579503, 4728579502, 1194039192, 1194039171, 6283820944, 4728579499, 4728579500, 1514991578, 6283820704, 6283820743, 6283820942, 1194039207, 6283821513, 2175857757, 2175857749, 2175857740, 2175857770, 2175857743, 2175857723, 2175857765, 2175857751, 2175857741, 2175857734, 2175857766, 2175857753, 2175857738, 2175857771, 2175857736, 2175857721, 2175802413, 2175802542, 2175802484, 2175802375, 6283821503, 6283821480, 6283837995, 6283821461];;;207365432;-73.21521321757196;-39.821212010136904;[{'lat': -39.8167596, 'lon': -73.2095079}, {'lat': -39.8169957, 'lon': -73.2096495}, {'lat': -39.8172532, 'lon': -73.2098439}, {'lat': -39.8174268, 'lon': -73.2099819}, {'lat': -39.817623, 'lon': -73.210143}, {'lat': -39.8178718, 'lon': -73.2103701}, {'lat': -39.8180258, 'lon': -73.2105209}, {'lat': -39.8181767, 'lon': -73.2106733}, {'lat': -39.8183735, 'lon': -73.2108824}, {'lat': -39.8190768, 'lon': -73.2116566}, {'lat': -39.8209649, 'lon': -73.2137956}, {'lat': -39.8222211, 'lon': -73.2152186}, {'lat': -39.8224334, 'lon': -73.2154483}, {'lat': -39.8226949, 'lon': -73.2158472}, {'lat': -39.8228182, 'lon': -73.2159753}, {'lat': -39.8228713, 'lon': -73.2160491}, {'lat': -39.8229677, 'lon': -73.2161589}, {'lat': -39.8230514, 'lon': -73.2163076}, {'lat': -39.8231422, 'lon': -73.2164422}, {'lat': -39.8231852, 'lon': -73.2165055}, {'lat': -39.8232526, 'lon': -73.2165842}, {'lat': -39.8233218, 'lon': -73.2166762}, {'lat': -39.8233741, 'lon': -73.2167852}, {'lat': -39.8234237, 'lon': -73.2168963}, {'lat': -39.8234706, 'lon': -73.2170094}, {'lat': -39.8235148, 'lon': -73.2171243}, {'lat': -39.8235562, 'lon': -73.2172411}, {'lat': -39.8235946, 'lon': -73.2173594}, {'lat': -39.8236303, 'lon': -73.2174793}, {'lat': -39.8236629, 'lon': -73.2176006}, {'lat': -39.8236927, 'lon': -73.2177231}, {'lat': -39.8237194, 'lon': -73.2178469}, {'lat': -39.8237431, 'lon': -73.2179716}, {'lat': -39.8237638, 'lon': -73.2180973}, {'lat': -39.8237815, 'lon': -73.2182238}, {'lat': -39.8237962, 'lon': -73.2183509}, {'lat': -39.823831, 'lon': -73.2186741}, {'lat': -39.8238797, 'lon': -73.219127}, {'lat': -39.8240282, 'lon': -73.2204878}];-73.2204878;-39.8240282;-73.2095079;-39.8167596
way;main;Bing;yes;rail;1;Ramal Antilhue - Valdivia;1676;no;[4728579505, 4728579504];;;479816660;-73.20946950000001;-39.816705549999995;[{'lat': -39.8166515, 'lon': -73.2094311}, {'lat': -39.8167596, 'lon': -73.2095079}];-73.2095079;-39.8167596;-73.2094311;-39.8166515
way;;;yes;rail;;;1676;no;[6283820704, 6283820701, 6283820702, 6283820703, 6283820708, 6283820706, 6283820707, 6283820709, 6283820739];;;671017544;-73.21434488079234;-39.82141206601151;[{'lat': -39.8209649, 'lon': -73.2137956}, {'lat': -39.8210158, 'lon': -73.2138558}, {'lat': -39.8210648, 'lon': -73.2139186}, {'lat': -39.821112, 'lon': -73.2139838}, {'lat': -39.821163, 'lon': -73.2140578}, {'lat': -39.8212125, 'lon': -73.214126}, {'lat': -39.8212637, 'lon': -73.214192}, {'lat': -39.8213167, 'lon': -73.2142556}, {'lat': -39.8219283, 'lon': -73.2149489}];-73.2149489;-39.8219283;-73.2137956;-39.8209649
way;;;yes;rail;;;1676;no;[6283820743, 6283820740, 6283820741, 6283820742, 6283820746, 6283820745, 6283820744, 6283820747];;;671017546;-73.21547204122697;-39.82240325267734;[{'lat': -39.8222211, 'lon': -73.2152186}, {'lat': -39.8222716, 'lon': -73.2152796}, {'lat': -39.8223207, 'lon': -73.2153425}, {'lat': -39.8223683, 'lon': -73.2154074}, {'lat': -39.8224194, 'lon': -73.2154796}, {'lat': -39.8224715, 'lon': -73.2155534}, {'lat': -39.8225122, 'lon': -73.2156188}, {'lat': -39.8225468, 'lon': -73.2156934}];-73.2156934;-39.8225468;-73.2152186;-39.8222211
way;;;yes;rail;;;1676;no;[6283820763, 6283820761, 6283820773, 6283820771, 6283820766, 6283820760];;;671017555;-73.21742935116623;-39.823429827174735;[{'lat': -39.8232037, 'lon': -73.2166385}, {'lat': -39.8232856, 'lon': -73.2168359}, {'lat': -39.8233769, 'lon': -73.2171051}, {'lat': -39.8234249, 'lon': -73.2172652}, {'lat': -39.8235067, 'lon': -73.2175698}, {'lat': -39.8236299, 'lon': -73.2183188}];-73.2183188;-39.8236299;-73.2166385;-39.8232037
way;;;yes;rail;;;1676;no;[6283820739, 6283820935, 6283820747, 6283820901, 6283820900, 6283820895, 6283820898, 6283820896, 6283820763, 6283820889, 6283820890, 6283820891, 6283820892, 6283820887, 6283820893, 6283820888, 6283820894, 6283820780];;;671017558;-73.21671844860744;-39.82302739762312;[{'lat': -39.8219283, 'lon': -73.2149489}, {'lat': -39.8223883, 'lon': -73.2155393}, {'lat': -39.8225468, 'lon': -73.2156934}, {'lat': -39.822761, 'lon': -73.2159655}, {'lat': -39.8228507, 'lon': -73.2160812}, {'lat': -39.8229901, 'lon': -73.2162726}, {'lat': -39.8230748, 'lon': -73.2164126}, {'lat': -39.8231706, 'lon': -73.2166085}, {'lat': -39.8232037, 'lon': -73.2166385}, {'lat': -39.8234272, 'lon': -73.2170285}, {'lat': -39.8234815, 'lon': -73.217157}, {'lat': -39.8235305, 'lon': -73.2172891}, {'lat': -39.8235738, 'lon': -73.2174245}, {'lat': -39.8236115, 'lon': -73.2175627}, {'lat': -39.8236434, 'lon': -73.2177034}, {'lat': -39.8236693, 'lon': -73.2178461}, {'lat': -39.8236893, 'lon': -73.2179905}, {'lat': -39.823723, 'lon': -73.2183035}];-73.2183035;-39.823723;-73.2149489;-39.8219283
way;;;yes;rail;;;1676;no;[6283821448, 6283821455, 6283821456, 6283821454, 6283821457, 6283821458, 6283821459, 6283821451];;;671017620;-73.21678740660772;-39.82347857895703;[{'lat': -39.8233769, 'lon': -73.2165361}, {'lat': -39.8234362, 'lon': -73.2166459}, {'lat': -39.8234846, 'lon': -73.2167555}, {'lat': -39.8235089, 'lon': -73.2168414}, {'lat': -39.8235554, 'lon': -73.216991}, {'lat': -39.823587, 'lon': -73.2171014}, {'lat': -39.823623, 'lon': -73.2172183}, {'lat': -39.8237021, 'lon': -73.217427}];-73.217427;-39.8237021;-73.2165361;-39.8233769
way;;;yes;rail;;;1676;no;[6283821451, 6283821449, 6283821450, 6283821452, 6283821488, 6283821464, 6283821462, 6283821463, 6283821465];;;671017622;-73.21815304608725;-39.823803778788246;[{'lat': -39.8237021, 'lon': -73.217427}, {'lat': -39.8237098, 'lon': -73.2175415}, {'lat': -39.8237299, 'lon': -73.2176379}, {'lat': -39.8237479, 'lon': -73.2177264}, {'lat': -39.8238349, 'lon': -73.2183316}, {'lat': -39.8239286, 'lon': -73.2192008}, {'lat': -39.8239411, 'lon': -73.2193012}, {'lat': -39.8239556, 'lon': -73.2194011}, {'lat': -39.8239722, 'lon': -73.2195005}];-73.2195005;-39.8239722;-73.217427;-39.8237021
way;;;yes;rail;;;1676;no;[6283821469, 6283821467, 6283821468, 6283821470, 6283821466];;;671017623;-73.220046857012;-39.82405626984449;[{'lat': -39.8240149, 'lon': -73.2197328}, {'lat': -39.8240318, 'lon': -73.2198315}, {'lat': -39.8240463, 'lon': -73.2199308}, {'lat': -39.8240585, 'lon': -73.2200307}, {'lat': -39.8241061, 'lon': -73.2204721}];-73.2204721;-39.8241061;-73.2197328;-39.8240149
way;;;yes;rail;;;1676;no;[6283821480, 6283821471, 6283821472, 6283821473, 6283821465, 6283821469, 6283837997, 6283821476, 6283821474, 6745516912];;;671017624;-73.21524971380518;-39.82321600417343;[{'lat': -39.823831, 'lon': -73.2186741}, {'lat': -39.8238429, 'lon': -73.2187744}, {'lat': -39.8238575, 'lon': -73.218874}, {'lat': -39.8238747, 'lon': -73.218973}, {'lat': -39.8239722, 'lon': -73.2195005}, {'lat': -39.8240149, 'lon': -73.2197328}, {'lat': -39.8240921, 'lon': -73.2201482}, {'lat': -39.824113, 'lon': -73.2202609}, {'lat': -39.8241294, 'lon': -73.2203601}, {'lat': -39.824141, 'lon': -73.2204675}];-73.2204675;-39.824141;-73.2186741;-39.823831
way;;;;platform;;;;;[2175802269, 2175802604, 2175802511, 2175802621, 2175802397, 2175802352, 2175802364, 2175802317, 2175802421, 2175802494, 2175802431, 2175802273, 2175802403, 2175802606, 2175802612, 2175802389, 2175802380, 2175802360, 2175802367, 2175802269];;;207365428;-73.22252131179053;-39.82434618124917;[{'lat': -39.8240967, 'lon': -73.2210091}, {'lat': -39.8243398, 'lon': -73.2232694}, {'lat': -39.8243682, 'lon': -73.2235342}, {'lat': -39.8242576, 'lon': -73.2235543}, {'lat': -39.8242608, 'lon': -73.2235838}, {'lat': -39.8243207, 'lon': -73.2235729}, {'lat': -39.8243713, 'lon': -73.2235632}, {'lat': -39.8243924, 'lon': -73.2237593}, {'lat': -39.8244485, 'lon': -73.2237492}, {'lat': -39.8244359, 'lon': -73.2236343}, {'lat': -39.8245656, 'lon': -73.2236125}, {'lat': -39.8243471, 'lon': -73.221582}, {'lat': -39.8242883, 'lon': -73.2215931}, {'lat': -39.8242778, 'lon': -73.221595}, {'lat': -39.8242779, 'lon': -73.2215954}, {'lat': -39.8244885, 'lon': -73.2235549}, {'lat': -39.8244288, 'lon': -73.2235663}, {'lat': -39.8242183, 'lon': -73.2216064}, {'lat': -39.8241474, 'lon': -73.2210057}, {'lat': -39.8240967, 'lon': -73.2210091}];-73.2237593;-39.8245656;-73.2210057;-39.8240967
way;;;;platform;;;;;[6283820753, 6283820755, 6283820759, 6283820758, 6283820757, 6283820756, 6283820754, 6283820752, 6283820748, 6283820749, 6283820750, 6283820751, 6283820753];;;671017547;-73.21777726668252;-39.8237249161319;[{'lat': -39.8237907, 'lon': -73.2180652}, {'lat': -39.8237731, 'lon': -73.2180701}, {'lat': -39.8237563, 'lon': -73.2179677}, {'lat': -39.8237324, 'lon': -73.2178424}, {'lat': -39.8237056, 'lon': -73.2177181}, {'lat': -39.8236757, 'lon': -73.217595}, {'lat': -39.8236487, 'lon': -73.2174947}, {'lat': -39.8236656, 'lon': -73.2174869}, {'lat': -39.8236928, 'lon': -73.2175876}, {'lat': -39.8237228, 'lon': -73.2177114}, {'lat': -39.8237498, 'lon': -73.2178364}, {'lat': -39.8237738, 'lon': -73.2179624}, {'lat': -39.8237907, 'lon': -73.2180652}];-73.2180701;-39.8237907;-73.2174869;-39.8236487
node;;;;station;;Valdivia;;;;-73.2177508;-39.8236353;2175802469;;;;;;;
